HM Revenue & Customs
District Heating - kWh
"**Please note: empty cells representing half-hourly consumption mean that there is no data available for that time; numbers followed by an 'E' are unreliable numbers"

Site Name,Utility,Unit,Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,Total
"100 Parliament Street, London",District Heating,kWh,2010-11-01,170,170,160,170,170,170,170,170,170,160,170,320,210,300,350,370,360,350,330,330,320,290,300,300,290,300,290,270,280,270,270,260,260,260,270,270,270,280,290,200,160,150,160,160,150,160,150,150,11550
"100 Parliament Street, London",District Heating,kWh,2010-11-02,150,150,150,150,150,150,160,150,140,150,150,190,200,240,290,310,310,310,310,300,290,280,260,260,250,250,230,230,230,240,230,230,240,230,240,250,240,250,260,250,250,180,140,140,130,130,130,140,10290
"100 Parliament Street, London",District Heating,kWh,2010-11-03,130,130,140,130,130,130,130,130,130,130,130,130,130,170,200,230,270,280,270,280,260,250,230,220,220,210,210,210,210,210,220,210,220,210,220,220,210,220,210,220,200,150,120,120,120,110,130,120,8860
"100 Parliament Street, London",District Heating,kWh,2010-11-04,120,120,120,120,120,120,120,120,130,120,120,120,120,160,180,200,230,240,230,230,230,220,200,210,190,180,190,190,200,190,180,200,190,200,190,210,200,200,210,200,200,150,110,120,120,120,120,120,8080
"100 Parliament Street, London",District Heating,kWh,2010-11-05,120,110,120,110,120,120,120,110,120,120,120,110,120,150,170,190,210,230,220,220,210,210,210,200,200,210,200,210,210,210,200,200,200,200,200,210,210,210,210,210,210,150,110,120,120,150,150,140,8180
"100 Parliament Street, London",District Heating,kWh,2010-11-06,130,140,140,140,140,140,140,140,150,140,140,150,140,160,160,200,240,240,250,240,250,250,230,240,230,240,230,240,240,230,230,230,250,260,250,240,250,250,260,250,250,190,160,160,160,160,160,170,9580
"100 Parliament Street, London",District Heating,kWh,2010-11-07,160,180,170,170,180,180,180,180,180,190,200,200,200,220,210,330,380,380,390,400,390,380,390,350,330,310,320,310,310,300,310,300,310,320,330,330,340,340,330,340,340,230,190,220,210,220,210,200,13140
"100 Parliament Street, London",District Heating,kWh,2010-11-08,220,200,190,190,180,190,190,190,200,190,190,190,190,350,260,430,500,490,490,470,460,450,450,440,440,410,400,410,380,390,380,370,370,370,370,370,370,360,380,370,380,220,180,180,180,180,190,180,15130
"100 Parliament Street, London",District Heating,kWh,2010-11-09,190,190,190,190,190,190,190,190,190,190,190,190,180,250,260,430,460,440,430,420,380,380,370,370,370,370,360,340,350,330,340,350,340,350,340,350,360,360,370,380,390,240,180,180,190,190,200,200,14080
"100 Parliament Street, London",District Heating,kWh,2010-11-10,200,200,200,210,200,210,210,220,210,220,220,220,240,330,360,540,570,550,520,500,460,450,440,380,370,360,350,360,350,350,340,350,350,340,360,360,370,390,400,400,400,260,220,220,220,220,230,240,15670
"100 Parliament Street, London",District Heating,kWh,2010-11-11,230,240,210,220,210,220,220,220,220,210,200,210,200,260,260,460,490,470,440,430,400,400,370,340,320,310,290,290,300,290,280,280,290,300,310,300,310,320,330,340,330,210,160,170,170,160,170,180,13540
"100 Parliament Street, London",District Heating,kWh,2010-11-12,170,170,170,170,170,170,180,160,180,170,170,170,180,220,250,380,410,400,380,370,350,340,320,310,310,300,300,300,300,290,290,280,290,290,290,290,290,290,300,290,300,200,160,150,160,160,160,150,12100
"100 Parliament Street, London",District Heating,kWh,2010-11-13,160,160,170,160,160,160,160,170,160,160,170,160,170,160,170,270,310,310,310,310,310,300,300,300,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,290,280,200,160,170,170,170,160,170,11140
"100 Parliament Street, London",District Heating,kWh,2010-11-14,170,170,170,170,180,170,180,170,180,170,170,180,180,180,180,300,350,360,360,340,350,330,340,340,330,340,330,350,340,350,360,360,360,360,360,360,360,360,380,360,370,250,230,220,240,240,240,240,13380
"100 Parliament Street, London",District Heating,kWh,2010-11-15,240,210,210,200,220,240,230,220,230,230,230,220,230,370,330,520,560,580,530,520,480,460,460,440,420,400,380,370,360,370,370,360,350,360,360,370,370,390,400,410,410,240,200,200,200,210,210,220,16090
"100 Parliament Street, London",District Heating,kWh,2010-11-16,220,250,240,240,240,240,250,240,250,250,250,240,260,330,380,560,600,610,620,560,530,490,440,440,410,390,380,360,330,350,330,340,330,340,330,330,350,360,360,370,380,230,180,190,190,190,200,190,16140
"100 Parliament Street, London",District Heating,kWh,2010-11-17,200,200,190,190,200,200,200,190,200,200,200,210,210,280,300,500,520,500,490,470,460,430,430,430,410,410,390,390,380,380,380,390,390,380,390,390,400,400,420,410,420,230,200,190,190,190,210,200,15540
"100 Parliament Street, London",District Heating,kWh,2010-11-18,190,200,210,200,200,200,200,210,200,190,200,210,210,290,310,490,530,510,470,470,440,410,390,380,360,340,340,340,340,340,330,340,340,350,340,330,340,340,350,340,360,220,170,170,170,170,170,180,14380
"100 Parliament Street, London",District Heating,kWh,2010-11-19,180,170,180,190,180,180,190,190,190,190,190,200,200,280,300,460,490,480,460,460,440,410,390,360,350,330,320,310,290,290,290,290,290,290,300,300,310,310,320,330,310,230,160,140,120,120,100,110,13170
"100 Parliament Street, London",District Heating,kWh,2010-11-20,110,100,100,90,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,270,50,0,110,210,160,200,270,300,340,330,330,370,80,0,0,3520
"100 Parliament Street, London",District Heating,kWh,2010-11-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,500,320,390,420,430,460,490,510,560,590,620,640,0,1320,680,660,640,630,600,390,300,280,300,320,320,300,12920
"100 Parliament Street, London",District Heating,kWh,2010-11-22,300,270,260,270,260,260,260,260,260,250,260,260,280,430,340,610,640,630,600,580,540,520,520,490,490,470,480,460,460,480,460,440,450,440,440,440,440,450,450,470,470,280,240,230,230,230,250,230,18830
"100 Parliament Street, London",District Heating,kWh,2010-11-23,250,250,240,240,240,240,250,240,250,240,250,250,260,340,360,550,600,570,540,520,510,480,470,460,440,450,430,440,430,430,420,420,410,410,420,420,430,440,450,450,450,280,230,230,240,240,250,240,17650
"100 Parliament Street, London",District Heating,kWh,2010-11-24,250,240,270,280,260,270,260,270,270,280,270,280,290,370,410,610,670,640,620,590,570,540,540,510,500,480,480,460,460,450,450,440,460,460,460,470,470,490,500,490,500,300,230,250,240,250,260,280,19390
"100 Parliament Street, London",District Heating,kWh,2010-11-25,270,270,270,270,270,280,270,280,280,280,290,290,300,390,410,620,670,650,640,620,590,580,570,560,550,550,530,520,540,530,540,520,490,500,510,510,510,520,540,530,540,330,280,280,290,280,300,290,20900
"100 Parliament Street, London",District Heating,kWh,2010-11-26,300,290,300,310,310,300,310,320,310,320,310,330,350,440,470,740,740,730,690,680,650,640,570,580,570,560,530,520,520,520,510,520,520,520,530,530,530,540,550,550,550,340,300,290,300,300,290,310,22190
